Customer ID,Age,Gender,City,Subscription Type,Monthly Spending,Tenure,Number of Purchases,Customer Support Requests,Login Frequency,Last Activity Date,Satisfaction Score,Churn Status
CUST00027,22,Male,Stevensonstad,Basic,1985.96,43,161,6,15,2026-02-17,8,No
CUST00028,41,Female,Carlberg,Premium,1745.25,78,148,20,30,2026-06-17,9,No
CUST00029,63,Female,Lake Roger,Basic,1388.87,76,179,11,34,2025-10-25,5,No
CUST00030,58,Male,Lindaview,Standard,811.44,104,119,17,1,2026-03-15,8,Yes
CUST00031,58,Female,Port Richardton,Standard,1724.56,65,149,1,51,2026-06-05,2,Yes
CUST00032,22,Female,Lopeztown,Basic,1069.47,57,77,4,37,2025-12-08,3,No
CUST00033,55,Female,Nicholasview,Basic,840.44,72,134,19,10,2026-01-26,10,No
CUST00034,33,Female,Port Timothyburgh,Basic,449.66,46,22,6,16,2025-07-10,1,Yes
CUST00035,34,Female,Davisside,Basic,419.4,63,60,14,2,2025-06-30,2,Yes
CUST00036,37,Female,Lauraland,Basic,1239.76,81,168,15,58,2026-02-19,1,Yes
CUST00037,56,Female,Harrisview,Standard,1917.7,50,39,14,1,2026-04-08,10,Yes
CUST00038,18,Male,South Stephen,Standard,1797.85,115,167,10,7,2025-09-18,10,No
CUST00039,26,Female,West Joshua,Standard,1226.19,65,53,12,54,2026-04-17,10,Yes
CUST00040,31,Female,Daltonshire,Basic,841.95,113,172,4,60,2025-10-01,10,No
CUST00041,21,Female,North Connie,Basic,1841.12,75,172,18,59,2026-04-04,4,Yes
CUST00042,23,Female,North Richardfurt,Basic,27.76,113,78,8,12,2025-08-30,8,No
CUST00043,66,Male,Hollymouth,Premium,1691.68,82,65,18,36,2025-07-30,3,Yes
CUST00044,66,Female,Lake Ronaldberg,Premium,1062.12,7,140,2,4,2026-06-11,7,Yes
CUST00045,48,Female,East Michaelchester,Standard,1606.87,90,136,2,17,2025-06-23,5,No
CUST00046,49,Male,Port Monicashire,Basic,1867.87,3,86,0,44,2026-04-09,8,No
CUST00047,32,Male,Serranofort,Premium,470.15,86,6,4,9,2025-09-29,7,Yes
CUST00048,74,Male,Timothyfort,Basic,125.62,72,150,1,32,2025-10-25,6,No
CUST00049,18,Female,Port Kristyport,Premium,1527.86,23,1,13,21,2026-05-28,1,No
CUST00050,21,Female,New Sherry,Standard,1254.79,57,110,7,3,2025-07-30,10,Yes
CUST00051,20,Male,Dylanmouth,Basic,972.42,55,88,11,6,2026-01-21,6,Yes
CUST00052,71,Male,Justinland,Premium,300.73,72,34,18,42,2025-08-16,3,Yes
CUST00053,69,Male,Grayland,Basic,1975.12,103,145,13,60,2025-12-31,8,No
CUST00054,54,Female,Lake Doris,Basic,377.34,42,102,1,49,2025-08-10,10,No
CUST00055,18,Male,Kellerberg,Basic,1725.23,119,144,1,50,2026-05-24,9,No
CUST00056,35,Male,New Christopher,Basic,687.96,90,5,1,3,2025-11-08,3,No
CUST00057,49,Male,North Andrewfort,Premium,234.42,33,184,7,8,2025-10-25,1,No
CUST00058,66,Female,Autumnmouth,Premium,1216.98,12,195,12,24,2025-07-05,10,No
CUST00059,34,Male,Brucehaven,Basic,1235.36,80,57,6,0,2025-12-29,4,No
CUST00060,63,Female,West Johnshire,Standard,505.5,119,91,20,26,2025-08-30,8,Yes
CUST00061,28,Female,Jarvisfurt,Standard,836.26,5,190,4,32,2026-03-04,3,No
CUST00062,28,Male,Romanland,Basic,257.99,75,68,18,39,2025-09-03,10,No
CUST00063,25,Female,Jonathanburgh,Premium,1533.26,116,186,19,8,2025-09-06,1,Yes
CUST00064,61,Male,New Jacobville,Premium,462.91,83,185,12,57,2026-06-10,4,Yes
CUST00065,18,Female,Mikaylaton,Basic,487.77,83,146,10,28,2026-03-26,4,Yes
CUST00066,22,Male,Riddleland,Standard,632.58,53,195,11,37,2026-04-06,9,Yes
CUST00067,61,Female,Duffyview,Basic,248.19,80,88,15,33,2025-08-12,3,Yes
CUST00068,32,Female,Mitchellside,Standard,1347.04,15,131,10,48,2026-03-14,4,Yes
CUST00069,59,Female,Port Melvin,Standard,516.11,43,187,8,51,2026-01-22,7,No
CUST00070,68,Female,East Christopher,Premium,93.59,43,86,1,18,2025-08-13,10,No
CUST00071,32,Male,North Stephen,Standard,1662.96,58,125,7,48,2026-04-23,1,No
CUST00072,59,Male,Nicholsonbury,Standard,1879.64,50,54,3,20,2025-11-25,9,No
CUST00073,51,Female,New Davidburgh,Premium,766.66,9,32,14,7,2025-09-04,9,No
CUST00074,66,Male,Hillburgh,Standard,730.37,46,41,14,56,2026-01-31,8,No
CUST00075,28,Male,East Scott,Premium,534.73,115,137,7,5,2025-10-02,2,No
CUST00076,41,Female,South Victoria,Basic,793.52,42,60,19,16,2025-12-15,8,No
CUST00077,22,Female,Port Susan,Basic,253.95,102,103,19,18,2026-03-18,1,No
CUST00078,47,Female,North Angie,Basic,895.33,111,1,11,31,2025-07-19,6,No
CUST00079,52,Female,Gibsonside,Premium,1992.58,90,79,4,3,2025-09-01,1,Yes
CUST00080,32,Female,New Connorbury,Basic,439.29,54,133,7,59,2025-12-08,2,Yes
CUST00081,57,Male,Doylebury,Standard,1344.91,79,188,20,14,2025-11-21,8,Yes
CUST00082,31,Male,North Debra,Premium,952.85,81,194,17,14,2026-04-26,9,No
CUST00083,37,Male,Port Shirley,Standard,1020.91,68,163,14,54,2025-12-12,8,No
CUST00084,47,Male,Barajasshire,Premium,1329.62,70,174,14,20,2025-07-05,1,Yes
CUST00085,54,Male,Hollandfurt,Basic,917.66,58,92,18,10,2025-11-01,10,No
CUST00086,34,Female,New Bernard,Standard,1631.17,69,113,0,34,2025-11-18,7,No
CUST00087,67,Male,New Edward,Basic,1152.63,19,174,14,31,2026-02-26,5,Yes
CUST00088,59,Male,South John,Standard,339.28,9,170,7,22,2025-11-28,2,Yes
CUST00089,64,Male,Arianafort,Premium,329.68,37,165,15,57,2026-02-27,7,No
CUST00090,37,Female,New Karen,Basic,177.48,116,25,2,37,2025-11-28,7,No
CUST00091,64,Male,Mitchellshire,Premium,247.85,32,195,7,34,2026-03-06,2,No
CUST00092,27,Female,East Sherry,Basic,553.89,82,77,19,59,2026-03-30,3,No
CUST00093,31,Female,Nicholasport,Standard,1698.44,25,40,14,12,2026-01-24,2,Yes
CUST00094,42,Female,Weissberg,Standard,59.13,82,115,12,42,2026-06-01,2,Yes
CUST00095,50,Female,Sandraville,Basic,1405.62,105,162,9,26,2026-05-11,2,Yes
CUST00096,23,Male,East Rebecca,Standard,1189.37,68,107,13,10,2025-07-31,10,Yes
CUST00097,36,Male,Lake Jessica,Premium,376.58,82,87,16,52,2026-01-15,3,Yes
CUST00098,22,Male,Meyersshire,Premium,1011.71,56,183,6,2,2025-06-26,3,Yes
CUST00099,44,Female,Port Anthony,Standard,1100.87,103,62,17,10,2025-09-25,10,No
CUST00100,69,Female,Richmondville,Premium,1785.01,41,58,14,58,2025-07-18,5,No
CUST00101,58,Male,New Michael,Standard,650.8,107,179,15,18,2025-08-12,8,No
CUST00102,33,Male,New Amanda,Basic,380.51,40,84,9,26,2026-06-05,3,Yes
CUST00103,62,Female,Jonathanchester,Premium,1408.09,24,4,9,51,2026-05-30,7,No
CUST00104,38,Female,Matthewsville,Premium,480.77,97,165,7,49,2026-04-20,6,No
CUST00105,50,Female,North Kyle,Basic,1894.61,88,22,7,24,2025-08-13,9,No
CUST00106,27,Male,Julianmouth,Standard,1751.96,76,36,4,41,2026-02-04,7,No
CUST00107,61,Female,Port Cody,Basic,1915.47,53,62,2,46,2026-02-03,8,No
CUST00108,31,Male,North Nicole,Standard,10.06,45,5,6,32,2025-07-05,3,Yes
CUST00109,26,Female,West Timothy,Standard,1942.01,32,195,4,53,2026-03-13,8,No
CUST00110,44,Female,North Paulamouth,Standard,1091.72,57,46,10,12,2026-03-29,8,No
CUST00111,53,Female,Franklinport,Premium,587.47,40,128,14,18,2026-06-20,6,No
CUST00112,56,Female,South Heather,Standard,1272.6,104,65,20,41,2026-01-02,2,Yes
CUST00113,48,Female,East Teresa,Basic,978.01,120,50,10,1,2026-03-11,6,No
CUST00114,46,Male,Williamstown,Standard,1639.96,45,123,19,55,2025-12-07,8,Yes
CUST00115,29,Male,North Kenneth,Premium,1267.54,86,159,5,42,2025-08-06,9,No
CUST00116,48,Female,Lake Elizabethport,Basic,575.62,29,9,11,8,2025-09-12,1,Yes
CUST00117,24,Female,Robertoborough,Basic,1072.19,59,126,17,53,2026-05-13,8,No
CUST00118,59,Male,West Amyland,Standard,1749.24,96,33,8,3,2025-06-29,8,Yes
CUST00119,52,Female,Mortonfort,Standard,12.61,62,92,6,18,2026-02-21,6,No
CUST00120,45,Male,Lake Peterbury,Standard,1970.68,92,133,6,13,2025-10-19,2,Yes
CUST00121,44,Female,North Kathrynville,Premium,968.19,62,94,18,14,2025-07-05,8,No
CUST00122,20,Male,East Stephenport,Basic,626.58,63,86,2,12,2025-11-12,1,Yes
CUST00123,38,Female,East Lindaville,Standard,501.37,39,34,0,17,2025-09-20,5,No
CUST00124,69,Female,West Nataliemouth,Premium,426.18,116,172,12,8,2025-06-26,7,No
CUST00125,51,Male,East Ana,Basic,610.58,101,63,1,40,2025-11-19,10,No
CUST00126,31,Female,Russellberg,Basic,709.73,15,97,2,4,2026-02-28,3,Yes
CUST00127,32,Male,South Jamesberg,Standard,1114.0,58,142,12,6,2025-12-24,4,Yes
CUST00128,61,Male,North Rachel,Standard,952.88,86,23,9,28,2026-04-22,9,Yes
CUST00129,70,Male,East Stephaniefort,Premium,727.36,10,12,0,37,2026-01-14,5,Yes
CUST00130,57,Male,East Savannah,Standard,88.83,86,92,19,18,2025-10-06,1,Yes
CUST00131,45,Male,Robertsonstad,Standard,479.54,81,130,15,9,2025-09-09,7,Yes
CUST00132,31,Male,East Amber,Basic,1324.25,34,197,12,49,2025-07-29,3,Yes
CUST00133,59,Female,North Elizabethfort,Basic,1063.54,109,184,0,4,2025-11-12,1,Yes
CUST00134,45,Female,New Brett,Premium,345.99,99,30,11,25,2025-12-04,2,No
CUST00135,23,Male,North Paula,Basic,1525.54,99,0,17,47,2026-02-16,4,Yes
CUST00136,41,Female,Kristinview,Standard,824.46,103,81,2,6,2025-10-17,7,No
CUST00137,49,Female,Brownmouth,Basic,970.86,34,99,15,15,2026-01-17,5,No
CUST00138,50,Male,Hutchinsonview,Basic,1201.44,101,120,4,22,2025-12-26,7,No
CUST00139,54,Male,Victorland,Standard,907.64,114,37,10,14,2025-09-29,1,Yes
CUST00140,41,Male,Sherryfort,Premium,477.9,35,44,9,26,2025-07-17,6,No
CUST00141,20,Male,Lake Nancy,Premium,990.93,3,144,8,41,2026-05-23,5,No
CUST00142,62,Female,Port Christinetown,Standard,1556.37,92,15,8,54,2026-01-14,6,No
CUST00143,56,Male,Shannonland,Premium,1894.72,96,82,1,4,2025-08-28,2,No
CUST00144,48,Female,South Kathrynland,Premium,1150.86,54,135,8,14,2025-11-18,5,No
CUST00145,40,Female,Heatherfurt,Basic,1120.71,97,51,5,36,2026-04-19,6,No
CUST00146,38,Female,North Carlosborough,Premium,1059.22,96,118,12,29,2026-04-05,2,Yes
CUST00147,27,Female,East Kelsey,Standard,1414.69,115,197,1,11,2025-07-16,5,No
CUST00148,33,Male,North Linda,Basic,791.77,101,54,19,52,2025-09-09,8,No
CUST00149,35,Male,Santanamouth,Basic,205.13,80,6,3,36,2026-04-06,5,No
CUST00150,32,Female,South Matthewfort,Basic,1496.67,110,117,11,39,2026-01-08,10,No
CUST00151,48,Male,Jacksonport,Premium,1209.4,10,141,9,29,2026-06-11,8,No
CUST00152,19,Male,Davismouth,Premium,78.24,106,42,0,60,2025-11-18,5,No
CUST00153,73,Female,Richardborough,Premium,1949.69,1,110,12,48,2025-07-09,5,Yes
CUST00154,29,Male,East Alexis,Basic,280.1,66,165,18,55,2026-04-13,1,Yes
CUST00155,40,Male,South Xavier,Standard,1121.37,107,5,18,25,2026-05-04,7,No
CUST00156,28,Female,West William,Standard,1218.1,38,16,4,60,2025-06-25,7,No
CUST00157,23,Female,Englishland,Premium,106.7,116,144,19,9,2025-10-18,2,No
CUST00158,64,Male,Port Christopher,Standard,1503.7,19,157,10,38,2026-02-26,1,Yes
CUST00159,59,Male,Ashleytown,Basic,692.29,94,108,20,39,2025-08-10,4,Yes
CUST00160,29,Female,Tomborough,Standard,346.24,101,4,2,20,2026-04-11,5,No
CUST00161,38,Male,East Tammyville,Standard,191.74,35,191,9,26,2026-02-10,10,No
CUST00162,20,Female,Matthewton,Basic,1014.99,40,172,18,4,2025-08-19,10,Yes
CUST00163,38,Male,Pachecoside,Standard,1838.12,95,117,16,48,2025-07-10,6,No
CUST00164,50,Female,Debbiemouth,Standard,1566.68,101,68,3,51,2026-05-24,5,No
CUST00165,71,Male,Scottstad,Premium,1767.69,56,200,13,31,2025-10-24,3,No
CUST00166,28,Female,Williamsport,Premium,1173.02,25,67,6,35,2025-10-08,7,No
CUST00167,27,Male,Mcdonaldbury,Basic,724.62,55,26,12,22,2026-05-27,2,Yes
CUST00168,36,Male,Lake Jeffreyport,Basic,223.04,20,169,16,59,2026-01-09,7,No
CUST00169,30,Male,Hayesborough,Basic,108.3,59,51,1,9,2025-10-30,9,No
CUST00170,67,Female,New Holly,Premium,1211.15,31,166,5,33,2025-10-28,2,No
CUST00171,26,Female,Andrewborough,Premium,1718.12,109,23,14,51,2026-01-19,4,Yes
CUST00172,19,Male,South Caleb,Basic,1056.31,102,123,11,46,2025-10-24,2,No
CUST00173,44,Male,Jasonmouth,Basic,1851.19,106,198,7,21,2025-10-30,1,No
CUST00174,59,Female,Lake Kathy,Standard,762.91,107,192,18,2,2025-10-30,4,Yes
CUST00175,21,Male,Johnsonview,Premium,200.41,22,39,12,12,2025-07-06,6,No
CUST00176,67,Female,Harrisonberg,Premium,525.01,11,146,0,32,2026-04-28,1,Yes
CUST00177,46,Male,Lewismouth,Standard,1593.56,81,127,2,32,2025-09-15,8,No
CUST00178,30,Male,Blairhaven,Basic,894.53,15,175,8,6,2025-07-24,4,No
CUST00179,56,Male,Andersonchester,Standard,1670.91,53,65,3,14,2025-07-13,9,Yes
CUST00180,68,Female,North Alexander,Premium,1332.43,53,0,11,27,2026-01-05,1,No
CUST00181,56,Female,Tanyaland,Basic,385.59,42,4,1,5,2025-12-03,2,No
CUST00182,42,Female,New Ambershire,Standard,849.53,118,82,13,23,2025-11-03,4,Yes
CUST00183,60,Female,New Stacey,Basic,1361.94,92,134,10,31,2025-12-14,6,No
CUST00184,48,Female,Knoxmouth,Premium,1646.42,14,162,0,18,2026-05-13,4,No
CUST00185,20,Male,Anneborough,Standard,232.11,35,105,12,47,2026-03-04,5,No
CUST00186,25,Male,West Nataliemouth,Premium,931.5,66,72,0,40,2025-11-30,3,No
CUST00187,56,Female,East Andreamouth,Basic,296.66,99,127,9,49,2026-03-02,2,Yes
CUST00188,58,Female,Sonyamouth,Basic,1978.45,24,84,9,2,2025-12-21,6,No
CUST00189,61,Male,Lake Josephburgh,Standard,1248.88,81,126,11,39,2025-12-05,7,Yes
CUST00190,24,Female,West Chelsea,Standard,801.96,19,167,6,59,2026-02-01,7,No
CUST00191,64,Female,North Matthew,Basic,906.4,111,176,17,11,2026-05-19,2,Yes
CUST00192,72,Male,North Travis,Standard,1479.44,13,140,15,56,2025-10-28,9,No
CUST00193,56,Male,Lake Nicole,Premium,1672.7,5,86,8,6,2026-05-20,10,No
CUST00194,20,Female,Williamsport,Basic,1113.19,62,17,18,50,2025-11-16,4,No
CUST00195,33,Female,Port Billyview,Standard,515.05,102,134,17,34,2026-02-19,10,Yes
CUST00196,53,Female,Tabithabury,Premium,813.66,110,79,4,57,2025-09-29,7,Yes
CUST00197,59,Male,Alexisfort,Basic,1919.58,64,20,9,47,2026-05-20,8,No
CUST00198,19,Male,Mackenziechester,Basic,886.32,31,1,4,2,2026-01-09,1,Yes
CUST00199,73,Male,Beasleystad,Standard,48.01,80,199,20,17,2026-02-23,5,Yes
CUST00200,67,Male,Johnsonport,Basic,1733.03,108,85,7,38,2025-09-27,5,No
CUST00201,71,Male,Port Shelbyville,Basic,1368.1,57,110,17,10,2025-07-05,6,No
CUST00202,30,Female,Stephaniefurt,Premium,1250.8,53,76,19,45,2026-04-12,2,Yes
CUST00203,48,Female,Murrayhaven,Basic,1460.1,11,82,8,17,2025-08-31,5,No
CUST00204,61,Male,Lindseyshire,Standard,1808.23,44,41,7,40,2025-10-03,6,No
CUST00205,41,Female,North Karenbury,Premium,835.72,91,132,3,33,2025-10-20,1,No
CUST00206,36,Female,Whitneymouth,Standard,529.89,42,13,3,32,2025-08-28,2,No
CUST00207,51,Male,Michaelborough,Standard,1149.86,80,79,10,11,2025-08-25,9,No
CUST00208,40,Male,East Kenneth,Standard,508.09,11,101,10,22,2025-11-17,10,No
CUST00209,75,Male,Jamesland,Premium,185.97,21,182,12,59,2025-12-26,9,No
CUST00210,68,Female,Shepardborough,Basic,1016.75,107,77,18,30,2025-07-16,3,Yes
CUST00211,55,Male,Brianshire,Premium,634.68,77,121,11,25,2026-02-28,3,Yes
CUST00212,42,Female,Ryanside,Premium,1426.55,105,33,1,28,2026-04-11,6,No
CUST00213,32,Female,West Jennifer,Premium,1480.59,66,8,16,19,2025-08-30,10,No
CUST00214,71,Female,New Cody,Standard,1308.08,32,83,19,21,2026-05-06,6,No
CUST00215,32,Female,New Kim,Premium,551.16,101,68,14,16,2026-06-05,6,No
CUST00216,41,Male,Port Joshua,Premium,1389.39,19,136,15,35,2025-09-06,8,No
CUST00217,23,Male,Jaredfort,Premium,1263.77,56,13,2,1,2026-06-17,5,No
CUST00218,71,Female,Watsonfort,Basic,1018.14,56,131,5,19,2025-10-01,9,No
CUST00219,69,Male,North Robert,Standard,390.79,10,36,17,36,2025-07-09,8,Yes
CUST00220,31,Male,Washingtonmouth,Premium,722.12,24,154,0,32,2026-04-29,2,Yes
CUST00221,47,Male,East Robinberg,Premium,532.54,38,54,12,59,2026-03-02,5,No
CUST00222,37,Male,Garciamouth,Premium,1315.26,64,84,0,31,2026-03-27,8,No
CUST00223,49,Male,West Karen,Premium,689.97,11,198,13,3,2025-12-16,7,Yes
CUST00224,75,Female,Mariaburgh,Standard,1244.17,100,165,9,14,2025-12-16,8,No
CUST00225,41,Male,North Amberton,Basic,296.62,116,16,2,1,2026-04-25,8,No
CUST00226,50,Female,Lake Andrew,Basic,803.39,51,198,7,54,2025-08-14,2,No
CUST00227,28,Female,West Kimberlystad,Standard,60.34,97,27,0,10,2026-05-07,4,No
CUST00228,32,Male,Lake Brittany,Standard,1578.11,41,43,2,54,2025-09-03,7,No
CUST00229,66,Male,Ramosfurt,Standard,1128.41,49,36,6,57,2025-07-09,8,No
CUST00230,30,Male,Robertfort,Basic,604.47,26,74,0,0,2026-04-15,8,No
CUST00231,39,Female,Owenburgh,Basic,249.92,10,87,5,17,2025-11-07,7,No
CUST00232,64,Female,Mcdonaldland,Standard,1001.43,42,52,17,25,2026-05-07,9,No
CUST00233,32,Male,Port Karen,Premium,1645.62,72,74,17,38,2026-03-30,8,Yes
CUST00234,51,Female,South Bradville,Basic,1283.33,61,170,14,49,2026-04-12,7,No
CUST00235,25,Male,Adamport,Basic,906.38,75,3,8,53,2026-01-19,4,Yes
CUST00236,68,Female,Jessicastad,Basic,1086.87,67,139,2,25,2026-04-22,8,Yes
CUST00237,70,Male,Hunterside,Basic,857.69,46,83,11,14,2025-09-01,1,Yes
CUST00238,50,Female,Pamelatown,Standard,1413.62,3,48,18,8,2025-10-16,7,No
CUST00239,30,Female,Perezmouth,Premium,1635.87,44,112,7,11,2026-04-25,5,No
CUST00240,44,Female,Mitchelltown,Standard,1508.45,109,44,0,13,2025-10-18,2,No
CUST00241,29,Female,North Amyberg,Basic,1060.89,88,105,7,33,2025-11-19,1,Yes
CUST00242,53,Female,Port Charleshaven,Standard,660.56,102,45,14,52,2025-12-21,10,No
CUST00243,44,Male,Hartview,Standard,1032.67,66,1,20,25,2026-04-17,4,Yes
CUST00244,32,Male,Lake Mariatown,Basic,1776.71,10,26,11,4,2025-10-02,8,Yes
CUST00245,31,Female,New Johnchester,Standard,1200.69,32,128,11,42,2025-09-18,6,No
CUST00246,44,Female,South Tracyborough,Basic,874.66,17,199,16,13,2025-12-05,10,No
CUST00247,35,Female,Ramirezchester,Premium,539.19,4,56,1,55,2025-11-25,2,No
CUST00248,68,Male,North Derekmouth,Basic,575.53,78,107,11,4,2025-11-03,1,Yes
CUST00249,50,Female,New Terri,Basic,419.95,105,51,15,1,2026-06-06,6,No
CUST00250,72,Female,Michaelport,Standard,1629.95,41,69,13,0,2026-01-09,3,Yes
CUST00251,29,Male,Lake Benjamin,Basic,710.04,105,134,2,23,2025-07-26,1,No
CUST00252,73,Male,West Carlos,Basic,1290.76,87,12,9,10,2026-01-17,7,Yes
CUST00253,74,Male,Burnsmouth,Standard,425.14,68,14,5,13,2026-05-19,3,Yes
CUST00254,24,Female,South Emmaside,Basic,544.81,102,182,5,14,2025-11-29,8,No
CUST00255,57,Female,Joshuafort,Standard,1830.27,52,141,1,30,2026-05-30,4,No
CUST00256,41,Male,Jonesmouth,Basic,772.62,24,134,2,26,2025-08-19,4,No
CUST00257,34,Male,North Deborah,Basic,204.75,75,150,18,18,2026-06-16,5,No
CUST00258,66,Male,Campbellville,Basic,1997.61,76,87,7,19,2026-01-13,7,No
CUST00259,72,Female,New James,Standard,747.97,39,190,18,43,2026-03-25,5,Yes
CUST00260,70,Male,South Tonytown,Basic,1577.85,95,112,8,32,2026-01-27,9,No
CUST00261,37,Female,South Veronicachester,Basic,96.41,6,118,12,37,2025-09-01,8,Yes
CUST00262,28,Female,Williamfort,Basic,187.32,66,19,12,4,2025-09-06,1,Yes
CUST00263,52,Female,Amberfort,Standard,1202.27,23,30,16,49,2025-12-27,5,No
CUST00264,48,Male,West Teresaborough,Premium,61.47,99,129,5,53,2026-02-02,4,No
CUST00265,71,Male,Scottborough,Basic,1397.21,42,9,6,34,2025-09-07,5,No
CUST00266,28,Female,South Michelle,Premium,1287.41,35,58,11,12,2026-02-23,10,Yes
CUST00267,54,Male,North Davidton,Basic,1334.29,5,133,16,50,2026-01-30,4,Yes
CUST00268,48,Male,Cunninghamport,Basic,1093.54,58,70,10,36,2026-04-18,5,No
CUST00269,40,Male,West Debbieland,Premium,1631.73,110,137,7,43,2026-02-18,1,Yes
CUST00270,50,Female,North Craigchester,Basic,1609.15,26,176,13,30,2026-01-02,9,Yes
CUST00271,35,Female,West Brookeland,Basic,1403.68,11,40,6,46,2025-11-22,9,No
CUST00272,57,Female,Lake Monicachester,Premium,1962.93,64,96,5,40,2026-02-02,1,No
CUST00273,26,Male,South Michealtown,Premium,1803.05,53,94,11,28,2026-05-22,6,No
CUST00274,47,Female,Port Jeremyberg,Basic,1021.25,109,39,11,29,2026-05-07,4,Yes
CUST00275,64,Female,Gabrielleside,Standard,1983.48,71,35,11,48,2026-06-04,8,No
CUST00276,71,Male,East Jeanetteburgh,Premium,128.63,16,145,20,59,2026-04-17,2,Yes
CUST00277,43,Male,Stacybury,Premium,1410.92,10,69,1,7,2025-12-18,2,Yes
CUST00278,58,Male,Port Edwardton,Standard,269.51,94,18,6,7,2026-02-19,8,No
CUST00279,45,Male,Port Annettemouth,Premium,1767.64,62,33,2,10,2026-01-23,6,No
CUST00280,68,Male,Lake Sophia,Premium,1607.38,69,36,7,28,2026-06-03,3,Yes
CUST00281,29,Female,West David,Basic,918.32,54,191,10,35,2025-12-04,9,No
CUST00282,50,Female,South Glen,Standard,400.13,108,40,10,44,2026-03-26,5,No
CUST00283,49,Female,Tiffanyport,Premium,1850.58,79,11,9,31,2025-12-02,2,No
CUST00284,28,Male,Whitneyberg,Standard,931.73,115,55,1,49,2026-03-06,10,No
CUST00285,73,Male,Smithberg,Basic,940.35,101,13,0,11,2025-07-04,2,No
CUST00286,63,Male,Lake Julia,Standard,1619.84,55,116,0,7,2026-02-24,9,No
CUST00287,65,Female,Velasquezborough,Basic,936.54,92,82,15,39,2025-07-14,6,No
CUST00288,25,Female,Lake Alexandrafurt,Standard,604.96,80,98,12,26,2026-01-21,9,No
CUST00289,24,Female,Port Patriciastad,Standard,771.19,103,134,9,55,2025-10-31,7,Yes
CUST00290,35,Male,West Shannon,Premium,861.15,59,30,20,57,2026-02-27,3,Yes
CUST00291,72,Female,Osborneshire,Premium,803.22,62,22,5,59,2026-03-29,5,No
CUST00292,27,Male,West Michael,Premium,160.64,112,172,15,42,2025-07-30,1,Yes
CUST00293,74,Female,Port Susanbury,Premium,1182.6,105,103,7,6,2026-04-03,3,Yes
CUST00294,59,Female,New Pamela,Premium,761.68,55,104,14,5,2026-02-12,4,Yes
CUST00295,35,Female,Cainland,Standard,1064.66,96,193,15,42,2026-02-27,4,Yes
CUST00296,37,Female,Port Nicholasport,Premium,935.16,53,87,19,48,2025-11-16,7,No
CUST00297,39,Male,South Jenniferstad,Standard,1638.79,47,173,19,50,2025-12-01,5,Yes
CUST00298,62,Male,Wrightstad,Standard,1344.19,3,113,12,35,2026-05-13,10,No
CUST00299,57,Male,New Mitchell,Standard,1783.73,114,82,1,8,2026-02-23,3,No
